3.512821e-01, 9.027778e-01, 2.823529e-01 
3.311966e-01, 3.362069e-01, 9.098039e-01 
3.016529e-01, 4.959016e-01, 9.568627e-01 
2.847222e-01, 5.647059e-01, 1 
2.750511e-01, 6.392157e-01, 1 
2.700803e-01, 6.509804e-01, 1 
2.642544e-01, 6.080000e-01, 9.803922e-01 
2.500000e-01, 6.111111e-01, 9.882353e-01 
2.269939e-01, 6.392157e-01, 1 
2.315315e-01, 7.312253e-01, 9.921569e-01 
2.380952e-01, 7.165354e-01, 9.960784e-01 
2.327236e-01, 6.431373e-01, 1 
2.353535e-01, 6.470588e-01, 1 
2.402235e-01, 7.160000e-01, 9.803922e-01 
2.329545e-01, 7.183673e-01, 9.607843e-01 
2.307692e-01, 6.627451e-01, 1 
2.411765e-01, 6.719368e-01, 9.921569e-01 
2.470588e-01, 6.746032e-01, 9.882353e-01 
2.480159e-01, 6.588235e-01, 1 
2.500000e-01, 6.980392e-01, 1 
2.396396e-01, 7.254902e-01, 1 
2.303371e-01, 6.980392e-01, 1 
2.324074e-01, 7.142857e-01, 9.882353e-01 
2.379576e-01, 6.892430e-01, 9.843137e-01 
2.484848e-01, 6.600000e-01, 9.803922e-01 
2.525253e-01, 6.470588e-01, 1 
2.470238e-01, 6.588235e-01, 1 
2.424242e-01, 6.901961e-01, 1 
2.394107e-01, 7.098039e-01, 1 
2.443820e-01, 6.980392e-01, 1 
2.560976e-01, 6.533865e-01, 9.843137e-01 
2.658228e-01, 6.396761e-01, 9.686275e-01 
2.626932e-01, 5.921569e-01, 1 
2.635417e-01, 6.274510e-01, 1 
2.590361e-01, 6.509804e-01, 1 
2.600402e-01, 6.561265e-01, 9.921569e-01 
2.694805e-01, 6.234818e-01, 9.686275e-01 
2.677419e-01, 6.078431e-01, 1 
2.532051e-01, 6.117647e-01, 1 
2.530488e-01, 6.431373e-01, 1 
2.619048e-01, 6.588235e-01, 1 
2.600849e-01, 6.156863e-01, 1 
2.622081e-01, 6.156863e-01, 1 
2.619048e-01, 6.518219e-01, 9.686275e-01 
2.628968e-01, 6.913580e-01, 9.529412e-01 
2.591463e-01, 6.431373e-01, 1 
2.634731e-01, 6.549020e-01, 1 
2.310127e-01, 6.196078e-01, 1 
1.729958e-01, 6.781116e-01, 9.137255e-01 
1.316239e-01, 9.605911e-01, 7.960784e-01 
1.091445e-01, 9.741379e-01, 9.098039e-01 
1.123680e-01, 8.666667e-01, 1 
1.103989e-01, 9.176471e-01, 1 
1.086667e-01, 9.803922e-01, 1 
