0.077,-500.49744,675.11139,-162.82654
0.142,-501.85242,677.49023,-161.83167
0.206,-502.69928,677.32086,-161.00311
0.27,-500.49744,675.45166,-165.1474
0.334,-495.75653,672.73254,-173.10791
0.398,-495.24841,670.52307,-178.91083
0.463,-495.24841,669.84406,-175.92621
0.528,-492.70782,669.33441,-181.06689
0.591,-491.69159,667.29584,-186.37238
0.655,-489.66064,668.6554,-189.02588
0.719,-490.84625,668.4845,-185.87494
0.784,-490.33813,669.33441,-187.03613
0.848,-491.0141,666.95557,-188.03101
0.913,-488.64441,667.63458,-189.35852
0.977,-487.4588,667.12494,-188.19733
1.041,-489.66064,666.27502,-191.01562
1.105,-490.33813,665.25574,-190.35339
1.169,-488.64441,667.29584,-189.02588
1.233,-488.98315,666.95557,-191.34827
1.299,-489.99939,666.6153,-190.68451
1.362,-489.3219,665.59601,-192.34314
1.426,-487.62817,666.95557,-191.01562
1.49,-487.62817,665.93628,-192.0105
1.555,-488.98315,665.25574,-191.67938
1.619,-488.98315,666.6153,-192.34314
1.683,-488.30566,666.95557,-190.35339
1.747,-488.47504,666.10565,-191.8457
1.812,-489.99939,666.6153,-191.34827
1.876,-488.47504,666.10565,-190.85083
1.94,-487.62817,664.91699,-191.01562
2.004,-488.81378,666.78619,-189.85596
2.069,-489.3219,667.29584,-190.68451
2.133,-489.15253,666.78619,-190.18707
2.197,-488.98315,667.29584,-189.02588
2.261,-489.49127,666.44592,-190.85083
2.326,-490.67688,667.63458,-190.35339
2.389,-489.49127,667.80548,-189.52332
2.454,-490.67688,666.6153,-190.35339
2.518,-490.33813,666.95557,-191.34827
2.583,-489.66064,666.95557,-189.02588
2.647,-488.98315,667.63458,-189.02588
2.711,-489.3219,666.27502,-190.68451
2.775,-490.33813,666.6153,-188.69476
2.84,-488.98315,666.27502,-190.02075
2.903,-490.84625,667.80548,-191.18195
2.968,-490.33813,668.31512,-189.35852
3.032,-488.81378,666.44592,-190.18707
3.101,-489.49127,667.46521,-188.52844
3.164,-488.64441,666.27502,-190.68451
3.225,-489.3219,667.63458,-188.36365
3.289,-491.35284,666.95557,-190.68451
3.354,-492.19971,667.46521,-189.1922
3.417,-489.66064,668.6554,-189.68964
3.482,-489.99939,667.29584,-190.68451
3.548,-489.99939,666.95557,-188.69476
3.612,-491.52222,665.08636,-190.18707
3.675,-488.64441,667.29584,-190.02075
3.739,-490.33813,666.95557,-188.03101
3.803,-489.49127,668.4845,-189.85596
3.877,-491.35284,666.95557,-189.35852
3.932,-490.67688,666.6153,-190.35339
3.997,-488.98315,666.6153,-189.35852
